"model","year","foi_mean","foi_median","foi_lower","foi_upper","foi_lower_50","foi_upper_50","foi_per_1000","foi_per_1000_lower","foi_per_1000_upper"
"RandomWalk",1943,0.000981820076909194,0.00070168912343196,0.000112060553768165,0.00358782346366367,0.000386255294601903,0.00124352746716234,0.981820076909194,0.112060553768165,3.58782346366367
"RandomWalk",1944,0.000817029661953382,0.000611586901030095,0.00010712423758672,0.00272883609181433,0.000345026923418407,0.00105646703209609,0.817029661953382,0.10712423758672,2.72883609181433
"RandomWalk",1945,0.000710555123540643,0.000558653864628827,0.000105524121828865,0.0022407873056584,0.000322751823489556,0.000923644727369195,0.710555123540643,0.105524121828865,2.2407873056584
"RandomWalk",1946,0.000650351973996345,0.000520157029227181,0.000105933104209478,0.00192942315825657,0.000311946075266513,0.00085374542999819,0.650351973996345,0.105933104209478,1.92942315825657
"RandomWalk",1947,0.000618014393307111,0.000514534014966249,0.000112030174728637,0.00171391192387886,0.00031292313309232,0.000804805069512747,0.618014393307111,0.112030174728637,1.71391192387886
"RandomWalk",1948,0.000634265332983188,0.000534219636514642,0.000128299208709958,0.00174866858563858,0.000334804630110898,0.000820210766377031,0.634265332983188,0.128299208709958,1.74866858563858
"RandomWalk",1949,0.000690522305290221,0.000583690554741677,0.000154288771176867,0.00184386112813346,0.000379296451698724,0.000882601611547487,0.690522305290221,0.154288771176867,1.84386112813346
"RandomWalk",1950,0.000775177750406832,0.0006774560127317,0.000190038030363183,0.00191559861135348,0.000447251466552006,0.000991216157510001,0.775177750406832,0.190038030363183,1.91559861135348
"RandomWalk",1951,0.000903444533419408,0.000807009426625501,0.000240286134256593,0.00209438509826879,0.00055089429410515,0.00114774567733099,0.903444533419408,0.240286134256593,2.09438509826879
"RandomWalk",1952,0.0011000258767862,0.00100724909200124,0.000337585573915531,0.00237393603438065,0.000710119966418437,0.00139138319313027,1.1000258767862,0.337585573915531,2.37393603438065
"RandomWalk",1953,0.00145480964924891,0.0013532937553124,0.000514101734029356,0.00299052832463532,0.000997677089979279,0.00179448933747443,1.45480964924891,0.514101734029356,2.99052832463532
"RandomWalk",1954,0.00191105738639786,0.00180530478782684,0.000739289007069705,0.00367852941988285,0.00135398832598289,0.00234706776681691,1.91105738639786,0.739289007069705,3.67852941988285
"RandomWalk",1955,0.00230997999397935,0.00219120482052864,0.000932072497667446,0.0043862904231898,0.00166000266818191,0.00283041747344334,2.30997999397935,0.932072497667446,4.3862904231898
"RandomWalk",1956,0.00190422248681169,0.00182066027647122,0.000836796368258734,0.00346055224276758,0.00140882764721133,0.00230414174362847,1.90422248681169,0.836796368258734,3.46055224276758
"RandomWalk",1957,0.00162079966639323,0.00154414363856106,0.000714626030829483,0.00298200280910488,0.00119571953609092,0.00196169065072824,1.62079966639323,0.714626030829483,2.98200280910488
"RandomWalk",1958,0.00156647465877349,0.00148829366414083,0.000709320606348456,0.00286337643722607,0.00116759750970806,0.00189146841988262,1.56647465877349,0.709320606348456,2.86337643722607
"RandomWalk",1959,0.00181119880403373,0.00173788380847517,0.000837994300636208,0.00319741998615919,0.00136124876991447,0.00218096092934242,1.81119880403374,0.837994300636208,3.19741998615919
"RandomWalk",1960,0.00229743599065159,0.00222146711930062,0.00114839722102103,0.00387230551212243,0.00178966520990859,0.0027266482127017,2.29743599065159,1.14839722102103,3.87230551212243
"RandomWalk",1961,0.00304240384897166,0.00297166741465818,0.00160715736411905,0.00487374680796422,0.00242512831050515,0.00357482609351144,3.04240384897166,1.60715736411905,4.87374680796422
"RandomWalk",1962,0.00312658402328773,0.0030664851561844,0.00173124690460138,0.00490585202431856,0.002547651591829,0.00362466859200422,3.12658402328773,1.73124690460138,4.90585202431856
"RandomWalk",1963,0.0032112007717724,0.00314791523670732,0.0017475163404823,0.00501789477852178,0.00262307443715531,0.00374298902370264,3.2112007717724,1.7475163404823,5.01789477852178
"RandomWalk",1964,0.00247908870534152,0.00243325556869918,0.00135793599333126,0.00386605896801928,0.00201994686118516,0.00288555026871202,2.47908870534152,1.35793599333126,3.86605896801928
"RandomWalk",1965,0.00241771852723583,0.00237085291475589,0.00133309291793338,0.00378991429568728,0.001960492783512,0.00282630200260347,2.41771852723583,1.33309291793338,3.78991429568728
"RandomWalk",1966,0.00282542231651107,0.0027709209625927,0.00160005103877249,0.00433292058027743,0.00232049259284292,0.00327835557186398,2.82542231651107,1.60005103877249,4.33292058027743
"RandomWalk",1967,0.00287668954414563,0.00283480961183116,0.00168267073508108,0.00433467853509872,0.0023867394543808,0.00331599086705981,2.87668954414563,1.68267073508108,4.33467853509872
"RandomWalk",1968,0.00236528330273072,0.0023151138226587,0.00134774165615852,0.0036162124728753,0.00195723528602775,0.00273371985777179,2.36528330273072,1.34774165615852,3.6162124728753
"RandomWalk",1969,0.00228212341358212,0.00224627823890541,0.00129875179230022,0.00347544104526934,0.00189151266396358,0.0026388676410796,2.28212341358212,1.29875179230022,3.47544104526934
"RandomWalk",1970,0.0022683322975268,0.0022282097292864,0.00127730272681645,0.00347535050768932,0.00187260793856479,0.00262996278435965,2.2683322975268,1.27730272681645,3.47535050768932
"RandomWalk",1971,0.00167352852060703,0.00163955074637533,0.000945159491341622,0.00258751066689303,0.00136963849001341,0.00193933434170369,1.67352852060703,0.945159491341622,2.58751066689303
"RandomWalk",1972,0.00157782115300069,0.00154151728118585,0.000854984657914929,0.00247259707789917,0.00127451124597916,0.00184978609149078,1.57782115300069,0.854984657914929,2.47259707789917
"RandomWalk",1973,0.00125437083308825,0.00121963663741692,0.000667037150146969,0.00201771531881264,0.00100891577942183,0.00146596834922745,1.25437083308825,0.667037150146969,2.01771531881265
"RandomWalk",1974,0.000986424185438726,0.000954509879026492,0.000493323356366576,0.00166206640369741,0.000770823202129278,0.00116369092720233,0.986424185438726,0.493323356366576,1.66206640369741
"RandomWalk",1975,0.000764100194163271,0.000738549475493811,0.000368636072116241,0.0013023900147778,0.000594379183483844,0.000905176219821715,0.764100194163271,0.368636072116241,1.3023900147778
"RandomWalk",1976,0.000678944030969163,0.000656827269193193,0.000332743222741067,0.0011551705255208,0.000525923208161997,0.000805991080115588,0.678944030969163,0.332743222741067,1.1551705255208
"RandomWalk",1977,0.000776288860126429,0.00074987659819461,0.000372846147450494,0.00131013409619233,0.000602904204515514,0.000927075166292487,0.77628886012643,0.372846147450494,1.31013409619233
"RandomWalk",1978,0.000803933175548345,0.000781260069500115,0.00043541704157347,0.00130001894511132,0.000641830378276789,0.000941622853736428,0.803933175548345,0.43541704157347,1.30001894511132
"RandomWalk",1979,0.00107473121498887,0.00105155793526106,0.000558081297048568,0.00171832245570676,0.000864968219889181,0.00126240424529236,1.07473121498887,0.558081297048568,1.71832245570676
"RandomWalk",1980,0.000774676095789388,0.000756388302882011,0.000402650875457395,0.00123948808915539,0.000620719845647918,0.000907822829580838,0.774676095789388,0.402650875457395,1.23948808915539
"RandomWalk",1981,0.000571903795286825,0.000553870162765234,0.00027803690529365,0.000978454686375447,0.000443379798381662,0.000679092172244944,0.571903795286825,0.27803690529365,0.978454686375447
"RandomWalk",1982,0.00043012286033339,0.000412352343988319,0.00019832109767245,0.000762123168186964,0.000324306525256861,0.000517861823040339,0.43012286033339,0.19832109767245,0.762123168186964
"RandomWalk",1983,0.000340363996095092,0.000326861660784369,0.000155535305220556,0.000607841602055617,0.000256634827141272,0.000405859219161884,0.340363996095092,0.155535305220556,0.607841602055617
"RandomWalk",1984,0.000309689676195801,0.000295477435994638,0.000143560153948857,0.000553962847694546,0.000232212161619586,0.000371944489133125,0.309689676195801,0.143560153948857,0.553962847694546
"RandomWalk",1985,0.000342025105750026,0.000328073050700775,0.000154286175967618,0.000602167683290146,0.00025802965229077,0.000410388381855907,0.342025105750026,0.154286175967618,0.602167683290146
"RandomWalk",1986,0.000399309784785555,0.000382631531826797,0.00017767361648844,0.000719562251771757,0.000296449872095799,0.000481343942064212,0.399309784785555,0.17767361648844,0.719562251771757
"RandomWalk",1987,0.00037047777344715,0.00035742763756391,0.000178736696223576,0.000632049054821778,0.0002846237228268,0.000443231221675868,0.37047777344715,0.178736696223576,0.632049054821779
"RandomWalk",1988,0.000436732078872515,0.000424246001256227,0.000202508415589326,0.000758156339320038,0.000332958407577931,0.000521587183408991,0.436732078872515,0.202508415589326,0.758156339320038
"RandomWalk",1989,0.000445186720886903,0.000427540588099439,0.000200583824601247,0.000780551479773084,0.000336260832085523,0.000537233315684157,0.445186720886903,0.200583824601247,0.780551479773084
"RandomWalk",1990,0.000337491859922331,0.000321213545245923,0.000148604734940731,0.000615293433799783,0.000250816739305382,0.000408469172281789,0.337491859922331,0.148604734940731,0.615293433799783
"RandomWalk",1991,0.00022771826054613,0.000214694189634646,9.42614845548227e-05,0.000435394211607102,0.000163824779777141,0.000276510299541491,0.22771826054613,0.0942614845548227,0.435394211607102
"RandomWalk",1992,0.000170833690294995,0.000158034012246318,5.93136428664091e-05,0.000350885560654339,0.000115900373429781,0.000212721599226184,0.170833690294995,0.0593136428664091,0.350885560654339
"RandomWalk",1993,0.000129633505801872,0.000116801440636015,3.77190804626689e-05,0.000299070521933383,8.12451032456338e-05,0.000163200334464657,0.129633505801872,0.0377190804626689,0.299070521933383
"RandomWalk",1994,9.64900308205078e-05,8.37164839630544e-05,2.36309466397806e-05,0.000239648191541583,5.43942753943022e-05,0.000124889210078925,0.0964900308205078,0.0236309466397806,0.239648191541583
"RandomWalk",1995,6.83070409976267e-05,5.79127717435227e-05,1.48859694296949e-05,0.000181537700167545,3.62915806991662e-05,8.88178118828009e-05,0.0683070409976267,0.0148859694296949,0.181537700167545
"RandomWalk",1996,4.70799899961455e-05,3.87316559975064e-05,9.57236631208073e-06,0.000131823481623259,2.43267349771913e-05,6.0909791566194e-05,0.0470799899961455,0.00957236631208073,0.131823481623259
"RandomWalk",1997,3.21555189363368e-05,2.63427190566259e-05,6.45716770896689e-06,9.18844422227122e-05,1.64870632055501e-05,4.17128910071692e-05,0.0321555189363368,0.00645716770896689,0.0918844422227122
"RandomWalk",1998,2.22133167306903e-05,1.82950870478892e-05,4.40035383267058e-06,6.32817457532987e-05,1.13917610453074e-05,2.82392268434117e-05,0.0222133167306903,0.00440035383267058,0.0632817457532987
"RandomWalk",1999,1.61155845584714e-05,1.34119834815119e-05,3.50272578326259e-06,4.40885729578718e-05,8.59702603807829e-06,2.05935855899215e-05,0.0161155845584714,0.00350272578326259,0.0440885729578718
"RandomWalk",2000,1.25254716823054e-05,1.06867741433704e-05,2.86484963861215e-06,3.28867608352351e-05,6.88990509358445e-06,1.61216578014441e-05,0.0125254716823054,0.00286484963861215,0.0328867608352351
"RandomWalk",2001,1.07876866538518e-05,9.18660295408596e-06,2.57237870916686e-06,2.79282254990632e-05,6.01264288039974e-06,1.3783034672189e-05,0.0107876866538518,0.00257237870916686,0.0279282254990632
"RandomWalk",2002,1.01283725559761e-05,8.84745192880647e-06,2.59697165228976e-06,2.57042472615513e-05,5.81394256730745e-06,1.293122297474e-05,0.0101283725559761,0.00259697165228976,0.0257042472615513
"RandomWalk",2003,1.06594385409752e-05,9.356968101571e-06,2.96721392252874e-06,2.59076918622181e-05,6.39068742270483e-06,1.34836381553386e-05,0.0106594385409752,0.00296721392252874,0.0259076918622181
"RandomWalk",2004,1.27686773538706e-05,1.15235344718743e-05,3.97274777493907e-06,2.89213517120348e-05,8.15741753205405e-06,1.5923145971741e-05,0.0127686773538706,0.00397274777493907,0.0289213517120348
"RandomWalk",2005,1.85408479515391e-05,1.70142537577627e-05,6.80921299718012e-06,3.90388781037993e-05,1.25878153258987e-05,2.27670331395484e-05,0.0185408479515391,0.00680921299718012,0.0390388781037993
"RandomWalk",2006,3.59455354920605e-05,3.39767914859886e-05,1.56004235598176e-05,6.8095643104771e-05,2.62275750294192e-05,4.33176322443111e-05,0.0359455354920605,0.0156004235598176,0.068095643104771
"RandomWalk",2007,0.000123169597647397,0.000119599266539992,6.92343924842746e-05,0.00019639578761614,0.00010006181323253,0.000143042104972934,0.123169597647397,0.0692343924842746,0.19639578761614
"RandomWalk",2008,0.00290037076907582,0.00290342304911402,0.0023461617819425,0.00344389008365115,0.00271274490892805,0.00309094571333269,2.90037076907582,2.3461617819425,3.44389008365115
"RandomWalk",2009,0.00506096928256718,0.00506478236010078,0.00436306857403232,0.00575861663584235,0.00481920672428847,0.00530318589616784,5.06096928256718,4.36306857403232,5.75861663584235
"RandomWalk",2010,0.00169888582140841,0.0016861464334826,0.00113582234853241,0.00233177941219268,0.00148067474997287,0.00190175419823361,1.69888582140841,1.13582234853241,2.33177941219268
"RandomWalk",2011,0.00124862926879943,0.00123168057050241,0.000743473459428457,0.00183210318351548,0.00105242626899689,0.00142913107608906,1.24862926879943,0.743473459428457,1.83210318351548
"RandomWalk",2012,0.000917901911926386,0.000901307603401348,0.000531278693055532,0.00139579752545314,0.000759755892174166,0.00106063885100763,0.917901911926386,0.531278693055532,1.39579752545314
"RandomWalk",2013,0.000872831634235525,0.000854375081464154,0.000486382896480602,0.0013714844379626,0.0007099677300787,0.00101542188809014,0.872831634235525,0.486382896480602,1.3714844379626
"RandomWalk",2014,0.000837273832309916,0.000824110687058193,0.000489019607665763,0.00126242559430173,0.000692618462159847,0.000965862396095679,0.837273832309916,0.489019607665763,1.26242559430173
"RandomWalk",2015,0.00124570581819849,0.00123467918303662,0.000733650064419422,0.00182087001954614,0.00105263555205072,0.00142524093514078,1.24570581819849,0.733650064419422,1.82087001954614
"RandomWalk",2016,0.000830209126021451,0.000813984397465304,0.000463495216354237,0.00128441814704729,0.00068264815008584,0.000961727766499467,0.830209126021451,0.463495216354237,1.28441814704729
"RandomWalk",2017,0.000672016319274456,0.000661463662663719,0.000366001301245474,0.00106739142706423,0.000542073490683075,0.000781766784579863,0.672016319274456,0.366001301245474,1.06739142706423
"RandomWalk",2018,0.000773911504549979,0.00076004102360627,0.000428146531267986,0.00120527320812653,0.000630223670236842,0.000901119867135886,0.773911504549979,0.428146531267986,1.20527320812653
"RandomWalk",2019,0.00132630586946688,0.00131414754705306,0.000797727020405996,0.00193767732762383,0.00111945120070319,0.00151100448511618,1.32630586946688,0.797727020405996,1.93767732762383
"RandomWalk",2020,0.00308135208634336,0.00307233577254299,0.00223468986670747,0.00395980520320305,0.00278434925597212,0.00337382741332989,3.08135208634336,2.23468986670747,3.95980520320305
"RandomWalk",2021,0.00252017855852478,0.0025117385760515,0.00171566694565378,0.0033908732761331,0.00222541729841548,0.00280241202140077,2.52017855852478,1.71566694565378,3.3908732761331
"RandomWalk",2022,0.00207055819785779,0.00205365336235865,0.00118849378545333,0.00305475740057454,0.00173753625522595,0.00239086463577127,2.07055819785779,1.18849378545333,3.05475740057454
